TIME,V,I,I,pce
3.25E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.26E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.27E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.28E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.29E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.30E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.31E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.32E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.33E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.34E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.35E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.36E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.37E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.38E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.39E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.40E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.41E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.42E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.43E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.44E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.45E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.46E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.47E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.48E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.49E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.50E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.51E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.52E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.53E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.54E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.55E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.56E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.57E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.58E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.59E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.60E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.61E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.62E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.63E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.64E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.65E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.66E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.67E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.68E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.69E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.70E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.71E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.72E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.73E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.74E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.75E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.76E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.77E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.78E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.79E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.80E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.81E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.82E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.83E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.84E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.85E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.86E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.87E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.88E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.89E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.90E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.91E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.92E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.93E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.94E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.95E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.96E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
3.97E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.98E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
3.99E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.00E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
